AccessID,Location,Comments,PhotoLink,CaptureDate,PublicPhotoUrl
ANFY04NTISLN / ANFY04NTISDN,Tres Isletas,"<div class=""ExternalClass8968FD9292994469AFFEA0CD5E4C5BD0""><p class=""editor-paragraph"">Prueba</p></div>",https://agcompany-my.sharepoint.com/personal/sebastian_miranda_corteva_com/Documents/Aplicaciones/Microsoft%20Forms/FTS%20-%20Access%20Photos/Pregunta/image_Sebastian%20Alfredo%20Mi%204.jpg,2026-08-24T17:08:12Z,
ANFY04NSBERN,San Bernardo,"<div class=""ExternalClass99B1758D7BCC47EF984AC4DBA8DEA49B""><p class=""editor-paragraph""></p></div>",https://agcompany-my.sharepoint.com/personal/sebastian_miranda_corteva_com/Documents/Aplicaciones/Microsoft%20Forms/FTS%20-%20Access%20Photos/Pregunta/image_Sebastian%20Alfredo%20Mi%205.jpg,2026-08-24T21:51:04Z,
ANFY04NLBREN / ANFY04NLBRDN,Las Breñas,"<div class=""ExternalClassB0A10FAC75314BF4BC93117002FE18DC""><p class=""editor-paragraph"">Prueba de github</p></div>",https://agcompany-my.sharepoint.com/personal/sebastian_miranda_corteva_com/Documents/Aplicaciones/Microsoft%20Forms/FTS%20-%20Access%20Photos/Pregunta/image_Sebastian%20Alfredo%20Mi%206.jpg,2026-08-24T22:11:53Z,https://laar-testing-ar.github.io/field-trial-map/images/access/ANFY04NLBREN / ANFY04NLBRDN/20260824_221150.jpg
ANFY04NMFIEN,Meson de Fierro (Hermoso Campo),"<div class=""ExternalClassE16E165ECC3E4FDC8844941806174468""><p class=""editor-paragraph""></p></div>",https://agcompany-my.sharepoint.com/personal/sebastian_miranda_corteva_com/Documents/Aplicaciones/Microsoft%20Forms/FTS%20-%20Access%20Photos/Pregunta/image_Sebastian%20Alfredo%20Mi%207.jpg,2026-08-24T23:39:24Z,https://laar-testing-ar.github.io/field-trial-map/images/access/ANFY04NMFIEN/20260824_233922.jpg
ANFY04NLBREN / ANFY04NLBRDN,Las Breñas,"<div class=""ExternalClass4E4F390CEB46490186B55E9DCE7002B2""><p class=""editor-paragraph""></p></div>",https://agcompany-my.sharepoint.com/personal/sebastian_miranda_corteva_com/Documents/Aplicaciones/Microsoft%20Forms/FTS%20-%20Access%20Photos/Pregunta/image_Sebastian%20Alfredo%20Mi%208.jpg,2026-08-24T23:44:48Z,https://laar-testing-ar.github.io/field-trial-map/images/access/ANFY04NLBREN / ANFY04NLBRDN/20260824_234446.jpg
ANFY04NSBERN,San Bernardo,"<div class=""ExternalClassA1041D2C665F4345B7ACA6464BC44644""><p class=""editor-paragraph""></p></div>",https://agcompany-my.sharepoint.com/personal/sebastian_miranda_corteva_com/Documents/Aplicaciones/Microsoft%20Forms/FTS%20-%20Access%20Photos/Pregunta/image_Sebastian%20Alfredo%20Mi%209.jpg,2026-08-24T23:54:30Z,https://laar-testing-ar.github.io/field-trial-map/images/access/ANFY04NSBERN/20260824_235427.jpg
ANFY04NTISLN / ANFY04NTISDN,Tres Isletas,"<div class=""ExternalClassA12E211B66FF4878B4A7C8EFAA69D2B8""><p class=""editor-paragraph""></p></div>",https://agcompany-my.sharepoint.com/personal/sebastian_miranda_corteva_com/Documents/Aplicaciones/Microsoft%20Forms/FTS%20-%20Access%20Photos/Pregunta/image_Sebastian%20Alfredo%20Mi%2010.jpg,2026-08-25T00:18:19Z,https://laar-testing-ar.github.io/field-trial-map/images/access/ANFY04NTISLN / ANFY04NTISDN/20260825_001817.jpg
